ccode1,ccode2,dyad,year,midongoing,midonset,dispnum3
2,20,1002020,1920,0,0,NA
2,20,1002020,1921,0,0,NA
2,20,1002020,1922,0,0,NA
2,20,1002020,1923,0,0,NA
2,20,1002020,1924,0,0,NA
2,20,1002020,1925,0,0,NA
2,20,1002020,1926,0,0,NA
2,20,1002020,1927,0,0,NA
2,20,1002020,1928,0,0,NA
2,20,1002020,1929,0,0,NA
2,20,1002020,1930,0,0,NA
2,20,1002020,1931,0,0,NA
2,20,1002020,1932,0,0,NA
2,20,1002020,1933,0,0,NA
2,20,1002020,1934,0,0,NA
2,20,1002020,1935,0,0,NA
2,20,1002020,1936,0,0,NA
2,20,1002020,1937,0,0,NA
2,20,1002020,1938,0,0,NA
2,20,1002020,1939,0,0,NA
2,20,1002020,1940,0,0,NA
2,20,1002020,1941,0,0,NA
2,20,1002020,1942,0,0,NA
2,20,1002020,1943,0,0,NA
2,20,1002020,1944,0,0,NA
2,20,1002020,1945,0,0,NA
2,20,1002020,1946,0,0,NA
2,20,1002020,1947,0,0,NA
2,20,1002020,1948,0,0,NA
2,20,1002020,1949,0,0,NA
2,20,1002020,1950,0,0,NA
2,20,1002020,1951,0,0,NA
2,20,1002020,1952,0,0,NA
2,20,1002020,1953,0,0,NA
2,20,1002020,1954,0,0,NA
2,20,1002020,1955,0,0,NA
2,20,1002020,1956,0,0,NA
2,20,1002020,1957,0,0,NA
2,20,1002020,1958,0,0,NA
2,20,1002020,1959,0,0,NA
2,20,1002020,1960,0,0,NA
2,20,1002020,1961,0,0,NA
2,20,1002020,1962,0,0,NA
2,20,1002020,1963,0,0,NA
2,20,1002020,1964,0,0,NA
2,20,1002020,1965,0,0,NA
2,20,1002020,1966,0,0,NA
2,20,1002020,1967,0,0,NA
2,20,1002020,1968,0,0,NA
2,20,1002020,1969,0,0,NA
2,20,1002020,1970,0,0,NA
2,20,1002020,1971,0,0,NA
2,20,1002020,1972,0,0,NA
2,20,1002020,1973,0,0,NA
2,20,1002020,1974,0,0,NA
2,20,1002020,1975,0,0,NA
2,20,1002020,1976,0,0,NA
2,20,1002020,1977,0,0,NA
2,20,1002020,1978,0,0,NA
2,20,1002020,1979,1,1,2968
2,20,1002020,1980,0,0,NA
2,20,1002020,1981,0,0,NA
2,20,1002020,1982,0,0,NA
2,20,1002020,1983,0,0,NA
2,20,1002020,1984,0,0,NA
2,20,1002020,1985,0,0,NA
2,20,1002020,1986,0,0,NA
2,20,1002020,1987,0,0,NA
2,20,1002020,1988,0,0,NA
2,20,1002020,1989,1,1,3900
2,20,1002020,1990,0,0,NA
